Programs,Fund_avaliable_to_Project,Change_from_last_month,Current_OWCF_Bd_Approved_Bd_Approved
Akili Dada (Kenya),306155.82,98094.67,0.00 
ASFOP (Burkina Faso),8397.19,-41.37,0.00
Batsiranai (Zimbabwe),6892.14,101.11,0.00 
Bitone Children's Center & Troupe (Uganda),7100.84,17.77,0.00 
Bocas SchoolProject (Panama),1279.38,0.00,0.00 
Build a School in Burma (Burma),27335.24,6000.00,0.00 
Build a School in India- Mata Balak,6831.13,500.00,0.00
CAMME (Democratic Republic of Congo),49.71,-0.64,0.00 
COMPALCIHT Association (Nicaragua),11103.44,0.00,0.00 
Crea+ (Brazil),116.55,0.00,0.00
El Shadai Family Foster Home (Uganda),576.60,0.00,0.00 
FDEGL (Nicaragua),131.92,0.00,0.00 
Foot2Afrika,-150.09,0.00,0.00
Girls To Women (USA),1734.56,596.30,0.00 
Global Chalkboard Project (Victor Hugo School),637.64,347.61,0.00 
Helen Keller Institute (India),119.23,0.00,0.00 
Jagriti Vihara [Hospital for Hope] (India),5093.76,0.00,0.00 
Khulani Special School,-8.09,0.00,0.00 
Kusoma International (Kenya),8448.11,0.00,0.00 
Mubarika Campus (Pakistan),15977.48,138.38,0.00 
Nari Jagran Manch (India),143.24,0.00,0.00 
Nirvanavan Foundation (India),30.46,0.00,0.00 
Nkomo CBO (South Africa),504.70,0.00,0.00
NovatoSpirit (US),145.23,-4.77,0.00
Pa-O National Development Org (PNDO),12142.41,0.00,0.00 
Partners In Development Foundation (PIDF),601.70,100.00,0.00
People First Educational Trust(India),32888.12,0.00,31335.28 
PETISOS- Gente Nueva (Argentina),994.33,0.00,0.00 
Prajna Vihar School Project,21798.65,-135.73,5412.50 
Precious Life Foundation,1560.00,0.00,0.00
Rotary Club of Negril (Jamaica),508.29,-16.71,0.00
SivaShantha Mother & Child Health Centre,530.06,96.82,0.00 
Siyazigabisa Home of Hope,1436.41,19.36,0.00
Smaraami (India),378.71,0.00,0.00 
St. Vincent's- Children of Kibera (Kenya),31445.17,-3.18,0.00 
Tadeo Torres (Ecuador),50.33,0.00,0.00
Tinga Tinga Secondary School (Tanzania),723.33,-1.59,0.00
Topu Honis (Timor Leste),75.91,9.68,0.00
Tunaweza Fund (Tanzania),1088.34,878.41,0.00
Zakat Foundation (India),32911.62,18.48,0.00 
ZISD (Zambia),329.03,25.00,0.00 
